00000,78.8
00001,16.1
00002,18.9
00003,10.0
00004,35.6
00005,174.3
00006,108.3
00007,57.4
00008,78.8
00009,57.4
00010,25.9
00011,22.1
00012,148.7
00013,126.9
00014,126.9
00015,148.7
00016,10.0
00017,108.3
00018,41.8
00019,452.0
00020,57.4
00021,18.9
00022,239.5
00023,108.3
00024,18.9
00025,1000.0
00026,25.9
00027,280.7
00028,452.0
00029,148.7
00030,853.1999999999999
00031,10.0
00032,78.8
00033,78.8
00034,385.7
00035,67.2
00036,30.4
00037,329.0
00038,452.0
00039,11.700000000000001
00040,16.1
00041,13.700000000000001
00042,108.3
00043,204.3
00044,108.3
00045,67.2
00046,22.1
00047,108.3
00048,57.4
00049,92.39999999999999
00050,11.700000000000001
00051,529.8000000000001
00052,174.3
00053,22.1
00054,48.9
00055,174.3
00056,10.0
00057,126.9
00058,78.8
00059,280.7
00060,1000.0
00061,67.2
00062,25.9
00063,1000.0
00064,16.1
00065,529.8000000000001
00066,529.8000000000001
00067,204.3
00068,48.9
00069,67.2
00070,126.9
00071,11.700000000000001
00072,25.9
00073,13.700000000000001
00074,239.5
00075,1000.0
00076,57.4
00077,25.9
00078,204.3
00079,174.3
00080,148.7
00081,727.9
00082,621.0
00083,280.7
00084,57.4
00085,48.9
00086,25.9
00087,41.8
00088,1000.0
00089,11.700000000000001
00090,25.9
00091,853.1999999999999
00092,30.4
00093,174.3
00094,529.8000000000001
00095,92.39999999999999
00096,67.2
00097,108.3
00098,529.8000000000001
00099,30.4
