00000,1000
00001,10
00002,10
00003,10
00004,10
00005,10
00006,100
00007,1000
00008,1000
00009,100
00010,1000
00011,100
00012,1000
00013,10
00014,10
00015,10
00016,100
00017,10
00018,100
00019,1000
00020,10
00021,10
00022,10
00023,100
00024,1000
00025,10
00026,10
00027,10
00028,1000
00029,10
00030,10
00031,1000
00032,10
00033,1000
00034,100
00035,10
00036,100
00037,100
00038,10
00039,10
00040,10
00041,10
00042,100
00043,10
00044,100
00045,1000
00046,100
00047,100
00048,1000
00049,100
00050,10
00051,1000
00052,100
00053,10
00054,1000
00055,100
00056,10
00057,10
00058,10
00059,1000
00060,10
00061,100
00062,1000
00063,10
00064,1000
00065,1000
00066,1000
00067,10
00068,1000
00069,10
00070,100
00071,1000
00072,1000
00073,10
00074,100
00075,100
00076,100
00077,1000
00078,10
00079,1000
00080,10
00081,1000
00082,10
00083,100
00084,1000
00085,100
00086,100
00087,100
00088,1000
00089,100
00090,10
00091,100
00092,1000
00093,100
00094,1000
00095,10
00096,10
00097,100
00098,1000
00099,1000
